# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-00-30 UTC;155428;3894180;96.16;230264;2197820;3823504;46.39;1982680;1539708
salmon;1;2014-05-26 20-00-31 UTC;155204;3894404;96.17;230276;2197924;3823504;46.39;1982904;1539788
salmon;1;2014-05-26 20-00-32 UTC;152468;3897140;96.23;230304;2201112;3823632;46.39;1983164;1542644
salmon;1;2014-05-26 20-00-33 UTC;155320;3894288;96.16;230316;2197968;3823632;46.39;1982956;1539720
salmon;1;2014-05-26 20-00-34 UTC;151848;3897760;96.25;230352;2201032;3823632;46.39;1983120;1542856
salmon;1;2014-05-26 20-00-35 UTC;150128;3899480;96.29;230356;2202980;3823632;46.39;1982976;1544408
salmon;1;2014-05-26 20-00-36 UTC;148360;3901248;96.34;230356;2203940;3838376;46.57;1984616;1545516
salmon;1;2014-05-26 20-00-37 UTC;151228;3898380;96.27;230368;2200596;3838376;46.57;1984876;1542044
salmon;1;2014-05-26 20-00-38 UTC;149616;3899992;96.31;230384;2201084;3838448;46.57;1984996;1542912
salmon;1;2014-05-26 20-00-39 UTC;149840;3899768;96.30;230396;2200412;3838728;46.58;1985640;1542632
salmon;1;2014-05-26 20-00-40 UTC;147436;3902172;96.36;230408;2203132;3847124;46.68;1985432;1544944
salmon;1;2014-05-26 20-00-41 UTC;149112;3900496;96.32;230412;2200924;3838928;46.58;1985432;1543348
salmon;1;2014-05-26 20-00-42 UTC;149492;3900116;96.31;230424;2200324;3839440;46.58;1985752;1542528
salmon;1;2014-05-26 20-00-43 UTC;147384;3902224;96.36;230492;2202304;3839440;46.58;1985728;1544484
salmon;1;2014-05-26 20-00-44 UTC;147136;3902472;96.37;230524;2202244;3839424;46.58;1985992;1544480
salmon;1;2014-05-26 20-00-45 UTC;148904;3900704;96.32;230540;2200724;3839424;46.58;1985960;1542860
salmon;1;2014-05-26 20-00-46 UTC;148252;3901356;96.34;230564;2201640;3839424;46.58;1985980;1543696
salmon;1;2014-05-26 20-00-47 UTC;147516;3902092;96.36;230580;2202272;3839424;46.58;1985944;1544388
salmon;1;2014-05-26 20-00-48 UTC;150500;3899108;96.28;230600;2198080;3840808;46.60;1986636;1540416
salmon;1;2014-05-26 20-00-49 UTC;148616;3900992;96.33;230600;2200992;3841312;46.61;1986692;1543080
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-00-56 UTC;148540;3901068;96.33;231096;2200396;3840860;46.60;1964640;1561064
salmon;1;2014-05-26 20-00-57 UTC;146788;3902820;96.38;231104;2201016;3833496;46.51;1974472;1552380
salmon;1;2014-05-26 20-00-58 UTC;146672;3902936;96.38;231104;2200984;3833644;46.51;1974720;1552276
salmon;1;2014-05-26 20-00-59 UTC;144488;3905120;96.43;231104;2203312;3833644;46.51;1981472;1547924
salmon;1;2014-05-26 20-01-00 UTC;146720;3902888;96.38;231124;2200500;3833644;46.51;1983932;1542596
salmon;1;2014-05-26 20-01-01 UTC;144828;3904780;96.42;231128;2203296;3833644;46.51;1984156;1545248
salmon;1;2014-05-26 20-01-02 UTC;144828;3904780;96.42;231128;2203316;3833644;46.51;1984160;1545268
salmon;1;2014-05-26 20-01-03 UTC;145060;3904548;96.42;231128;2200692;3834116;46.52;1985128;1542752
salmon;1;2014-05-26 20-01-04 UTC;141108;3908500;96.52;231128;2205228;3834248;46.52;1985424;1547116
salmon;1;2014-05-26 20-01-05 UTC;141108;3908500;96.52;231128;2205388;3834248;46.52;1985432;1547124
salmon;1;2014-05-26 20-01-06 UTC;140736;3908872;96.52;231128;2205624;3834332;46.52;1985544;1547332
salmon;1;2014-05-26 20-01-07 UTC;138380;3911228;96.58;231132;2208044;3834332;46.52;1985512;1549908
salmon;1;2014-05-26 20-01-08 UTC;139100;3910508;96.57;231148;2206616;3865120;46.90;1986476;1548464
salmon;1;2014-05-26 20-01-09 UTC;141852;3907756;96.50;231148;2203296;3840532;46.60;1986384;1545316
salmon;1;2014-05-26 20-01-10 UTC;140364;3909244;96.53;231152;2204488;3840532;46.60;1986308;1546564
salmon;1;2014-05-26 20-01-11 UTC;134364;3915244;96.68;231152;2205224;3856960;46.80;1991736;1547272
salmon;1;2014-05-26 20-01-12 UTC;133620;3915988;96.70;231152;2205704;3856960;46.80;1991976;1547740
salmon;1;2014-05-26 20-01-13 UTC;135588;3914020;96.65;231152;2203752;3881560;47.10;1992152;1545748
salmon;1;2014-05-26 20-01-14 UTC;134612;3914996;96.68;231152;2204748;3881560;47.10;1992180;1546636
salmon;1;2014-05-26 20-01-15 UTC;133992;3915616;96.69;231152;2205200;3883052;47.11;1992552;1547116
