# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-45-09 UTC;-1;7.87;0.00;86.80;0.51;0.00;4.82
salmon;1;2014-05-26 19-45-10 UTC;-1;14.32;0.00;85.68;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-11 UTC;-1;11.75;0.00;88.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-12 UTC;-1;9.27;0.00;90.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-13 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-14 UTC;-1;6.73;0.00;93.27;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-15 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-16 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-17 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-18 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-19 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-20 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-21 UTC;-1;4.49;0.00;95.26;0.00;0.00;0.25
salmon;1;2014-05-26 19-45-22 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-23 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-24 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-25 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-26 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-27 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-28 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-45-35 UTC;-1;7.52;0.00;86.97;0.00;0.00;5.51
salmon;1;2014-05-26 19-45-36 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-37 UTC;-1;12.22;0.00;87.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-38 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-39 UTC;-1;6.25;0.00;93.50;0.00;0.00;0.25
salmon;1;2014-05-26 19-45-40 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-41 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-42 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-43 UTC;-1;3.02;0.00;96.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-44 UTC;-1;4.24;0.00;95.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-45 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-46 UTC;-1;3.27;0.00;96.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-47 UTC;-1;5.26;0.00;94.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-48 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-49 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-50 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-51 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-52 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-53 UTC;-1;4.51;0.00;95.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-45-54 UTC;-1;3.47;0.00;96.28;0.25;0.00;0.00
