# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-45-09 UTC;613464;3436144;84.85;275548;1697844;3832428;46.50;1797904;1270820
salmon;1;2014-05-26 19-45-10 UTC;609456;3440152;84.95;275548;1690348;3897812;47.29;1811480;1260940
salmon;1;2014-05-26 19-45-11 UTC;586732;3462876;85.51;275548;1689856;3934300;47.74;1835008;1260580
salmon;1;2014-05-26 19-45-12 UTC;586104;3463504;85.53;275548;1689376;3942800;47.84;1835532;1260104
salmon;1;2014-05-26 19-45-13 UTC;581772;3467836;85.63;275548;1694444;3942800;47.84;1836328;1263980
salmon;1;2014-05-26 19-45-14 UTC;586600;3463008;85.51;275560;1689428;3943008;47.84;1836980;1258736
salmon;1;2014-05-26 19-45-15 UTC;581152;3468456;85.65;275560;1695624;3943008;47.84;1837048;1264560
salmon;1;2014-05-26 19-45-16 UTC;579036;3470572;85.70;275564;1693656;3944132;47.85;1840416;1262720
salmon;1;2014-05-26 19-45-17 UTC;580656;3468952;85.66;275568;1691416;3944732;47.86;1841148;1260316
salmon;1;2014-05-26 19-45-18 UTC;582516;3467092;85.62;275568;1689772;3944732;47.86;1841204;1258404
salmon;1;2014-05-26 19-45-19 UTC;582020;3467588;85.63;275568;1690368;3944732;47.86;1841308;1258836
salmon;1;2014-05-26 19-45-20 UTC;582020;3467588;85.63;275568;1690264;3944732;47.86;1841400;1258516
salmon;1;2014-05-26 19-45-21 UTC;578052;3471556;85.73;275568;1694112;3944732;47.86;1841584;1262284
salmon;1;2014-05-26 19-45-22 UTC;582144;3467464;85.62;275568;1689308;3944732;47.86;1841816;1257704
salmon;1;2014-05-26 19-45-23 UTC;577680;3471928;85.73;275568;1693988;3944732;47.86;1841976;1262104
salmon;1;2014-05-26 19-45-24 UTC;578052;3471556;85.73;275568;1694468;3944732;47.86;1842264;1262144
salmon;1;2014-05-26 19-45-25 UTC;578672;3470936;85.71;275568;1693892;3945176;47.87;1843348;1260668
salmon;1;2014-05-26 19-45-26 UTC;579712;3469896;85.68;275568;1691908;3945176;47.87;1843548;1258544
salmon;1;2014-05-26 19-45-27 UTC;581944;3467664;85.63;275568;1689940;3945176;47.87;1844192;1256360
salmon;1;2014-05-26 19-45-28 UTC;581540;3468068;85.64;275568;1689180;3946668;47.89;1844716;1255288
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-45-35 UTC;615884;3433724;84.79;275596;1689880;3842464;46.62;1804992;1257420
salmon;1;2014-05-26 19-45-36 UTC;599128;3450480;85.21;275600;1699904;3856480;46.79;1815384;1262900
salmon;1;2014-05-26 19-45-37 UTC;579308;3470300;85.69;275600;1693012;3934436;47.74;1842976;1255692
salmon;1;2014-05-26 19-45-38 UTC;581184;3468424;85.65;275600;1690924;3934436;47.74;1843416;1253520
salmon;1;2014-05-26 19-45-39 UTC;577744;3471864;85.73;275600;1692856;3967684;48.14;1843768;1255592
salmon;1;2014-05-26 19-45-40 UTC;577528;3472080;85.74;275600;1693764;3967684;48.14;1843876;1255852
salmon;1;2014-05-26 19-45-41 UTC;580136;3469472;85.67;275600;1690692;3967844;48.14;1844308;1253120
salmon;1;2014-05-26 19-45-42 UTC;570172;3479436;85.92;275604;1696428;3987388;48.38;1849564;1258312
salmon;1;2014-05-26 19-45-43 UTC;574016;3475592;85.83;275604;1691956;3987388;48.38;1849636;1253920
salmon;1;2014-05-26 19-45-44 UTC;574636;3474972;85.81;275604;1691260;3987392;48.38;1849780;1253580
salmon;1;2014-05-26 19-45-45 UTC;568808;3480800;85.95;275604;1697880;3987392;48.38;1849844;1259440
salmon;1;2014-05-26 19-45-46 UTC;574140;3475468;85.82;275604;1691252;3987392;48.38;1849896;1253156
salmon;1;2014-05-26 19-45-47 UTC;574760;3474848;85.81;275604;1691060;3987392;48.38;1849804;1252756
salmon;1;2014-05-26 19-45-48 UTC;574016;3475592;85.83;275652;1692368;3987392;48.38;1849852;1253708
salmon;1;2014-05-26 19-45-49 UTC;573644;3475964;85.83;275656;1692720;3987392;48.38;1850076;1254356
salmon;1;2014-05-26 19-45-50 UTC;572404;3477204;85.87;275656;1693900;3987392;48.38;1850104;1255432
salmon;1;2014-05-26 19-45-51 UTC;571016;3478592;85.90;275692;1695460;3987392;48.38;1850112;1256736
salmon;1;2014-05-26 19-45-52 UTC;567884;3481724;85.98;275692;1698008;4036568;48.98;1850180;1259640
salmon;1;2014-05-26 19-45-53 UTC;564964;3484644;86.05;275692;1699252;4020664;48.78;1851932;1261008
salmon;1;2014-05-26 19-45-54 UTC;562628;3486980;86.11;275692;1701736;4022400;48.80;1852052;1262880
