# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-29-53 UTC;-1;8.06;0.00;85.89;0.00;0.00;6.05
salmon;1;2014-05-26 19-29-54 UTC;-1;10.25;0.00;89.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-29-55 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-29-56 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-29-57 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-29-58 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-29-59 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-00 UTC;-1;7.52;0.00;92.48;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-01 UTC;-1;10.25;0.00;89.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-02 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-03 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-04 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-05 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-06 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-07 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-08 UTC;-1;6.98;0.00;93.02;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-09 UTC;-1;7.54;0.00;92.46;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-10 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-11 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-30-12 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-30-19 UTC;-1;14.18;0.00;39.49;28.10;0.00;18.23
salmon;1;2014-05-26 19-30-20 UTC;-1;13.30;0.00;66.24;9.46;0.00;11.00
salmon;1;2014-05-26 19-30-21 UTC;-1;6.67;0.00;65.90;15.38;0.00;12.05
salmon;1;2014-05-26 19-30-22 UTC;-1;4.88;0.00;64.01;19.28;0.00;11.83
salmon;1;2014-05-26 19-30-23 UTC;-1;1.78;0.00;67.94;18.07;0.00;12.21
salmon;1;2014-05-26 19-30-24 UTC;-1;5.70;0.00;30.83;40.41;0.00;23.06
salmon;1;2014-05-26 19-30-25 UTC;-1;9.67;0.00;64.38;15.52;0.00;10.43
salmon;1;2014-05-26 19-30-26 UTC;-1;12.02;0.00;64.19;13.55;0.00;10.23
salmon;1;2014-05-26 19-30-27 UTC;-1;7.95;0.00;67.69;13.33;0.00;11.03
salmon;1;2014-05-26 19-30-28 UTC;-1;6.85;0.00;65.23;17.26;0.00;10.66
salmon;1;2014-05-26 19-30-29 UTC;-1;12.28;0.00;40.92;28.39;0.00;18.41
salmon;1;2014-05-26 19-30-30 UTC;-1;4.62;0.00;62.05;18.97;0.00;14.36
salmon;1;2014-05-26 19-30-31 UTC;-1;8.16;0.00;31.89;24.23;0.00;35.71
salmon;1;2014-05-26 19-30-32 UTC;-1;3.08;0.00;29.56;45.50;0.00;21.85
salmon;1;2014-05-26 19-30-33 UTC;-1;2.77;0.00;65.74;18.14;0.00;13.35
salmon;1;2014-05-26 19-30-34 UTC;-1;4.52;0.00;61.56;20.60;0.00;13.32
salmon;1;2014-05-26 19-30-35 UTC;-1;2.03;0.00;44.42;36.55;0.00;17.01
salmon;1;2014-05-26 19-30-36 UTC;-1;9.21;0.00;48.08;34.27;0.00;8.44
salmon;1;2014-05-26 19-30-37 UTC;-1;5.10;0.00;32.91;47.70;0.00;14.29
salmon;1;2014-05-26 19-30-38 UTC;-1;8.77;0.00;66.17;13.28;0.00;11.78
