# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-29-53 UTC;497324;3552284;87.72;353240;1754580;3831732;46.49;1963736;1218656
salmon;1;2014-05-26 19-29-54 UTC;494128;3555480;87.80;353240;1755024;3835440;46.54;1967776;1218348
salmon;1;2014-05-26 19-29-55 UTC;479440;3570168;88.16;353240;1761820;3846432;46.67;1975300;1224792
salmon;1;2014-05-26 19-29-56 UTC;486384;3563224;87.99;353240;1755004;3846432;46.67;1975860;1217560
salmon;1;2014-05-26 19-29-57 UTC;478796;3570812;88.18;353240;1762388;3855008;46.77;1976684;1224168
salmon;1;2014-05-26 19-29-58 UTC;483516;3566092;88.06;353240;1758208;3855008;46.77;1977356;1219204
salmon;1;2014-05-26 19-29-59 UTC;483748;3565860;88.05;353240;1755324;3862300;46.86;1979736;1216248
salmon;1;2014-05-26 19-30-00 UTC;482880;3566728;88.08;353240;1755084;3863356;46.87;1980972;1215872
salmon;1;2014-05-26 19-30-01 UTC;477888;3571720;88.20;353240;1758160;3865820;46.90;1984052;1218152
salmon;1;2014-05-26 19-30-02 UTC;473500;3576108;88.31;353240;1759472;3868296;46.93;1986936;1218996
salmon;1;2014-05-26 19-30-03 UTC;463084;3586524;88.56;353240;1759880;3880008;47.08;1998112;1219008
salmon;1;2014-05-26 19-30-04 UTC;463936;3585672;88.54;353248;1757620;3880008;47.08;1998512;1216496
salmon;1;2014-05-26 19-30-05 UTC;463832;3585776;88.55;353252;1758440;3880008;47.08;1998572;1217140
salmon;1;2014-05-26 19-30-06 UTC;464348;3585260;88.53;353252;1757820;3880008;47.08;1999320;1216080
salmon;1;2014-05-26 19-30-07 UTC;464720;3584888;88.52;353252;1757276;3880008;47.08;1999676;1215040
salmon;1;2014-05-26 19-30-08 UTC;460160;3589448;88.64;353252;1759868;3880008;47.08;2002776;1217060
salmon;1;2014-05-26 19-30-09 UTC;463728;3585880;88.55;353252;1755384;3880356;47.08;2003672;1212360
salmon;1;2014-05-26 19-30-10 UTC;464208;3585400;88.54;353252;1755128;3880356;47.08;2003660;1212116
salmon;1;2014-05-26 19-30-11 UTC;461720;3587888;88.60;353252;1757944;3880356;47.08;2004124;1214348
salmon;1;2014-05-26 19-30-12 UTC;459332;3590276;88.66;353252;1759656;3881524;47.10;2004612;1215880
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-30-19 UTC;487116;3562492;87.97;353276;1757496;3834176;46.52;1982264;1206224
salmon;1;2014-05-26 19-30-20 UTC;476548;3573060;88.23;353276;1762700;3843316;46.63;1991172;1208584
salmon;1;2014-05-26 19-30-21 UTC;481684;3567924;88.11;353280;1756048;3843352;46.63;1991332;1201784
salmon;1;2014-05-26 19-30-22 UTC;479460;3570148;88.16;353280;1758480;3901156;47.33;1992324;1203876
salmon;1;2014-05-26 19-30-23 UTC;478552;3571056;88.18;353280;1758392;3876584;47.04;1992700;1203180
salmon;1;2014-05-26 19-30-24 UTC;473724;3575884;88.30;353280;1762708;3880620;47.08;1994376;1207288
salmon;1;2014-05-26 19-30-25 UTC;475288;3574320;88.26;353280;1758520;3882016;47.10;1996144;1202936
salmon;1;2014-05-26 19-30-26 UTC;474928;3574680;88.27;353280;1757300;3884092;47.13;1998784;1201116
salmon;1;2014-05-26 19-30-27 UTC;469328;3580280;88.41;353280;1763272;3884224;47.13;1999980;1206320
salmon;1;2014-05-26 19-30-28 UTC;473764;3575844;88.30;353280;1756520;3885292;47.14;2001184;1199652
salmon;1;2014-05-26 19-30-29 UTC;470508;3579100;88.38;353284;1760860;3885292;47.14;2001780;1203208
salmon;1;2014-05-26 19-30-30 UTC;473916;3575692;88.30;353284;1756636;3885292;47.14;2002020;1199016
salmon;1;2014-05-26 19-30-31 UTC;472476;3577132;88.33;353284;1756412;3886488;47.16;2003452;1198852
salmon;1;2014-05-26 19-30-32 UTC;469016;3580592;88.42;353284;1756668;3891332;47.21;2007044;1198612
salmon;1;2014-05-26 19-30-33 UTC;465916;3583692;88.49;353284;1759800;3891332;47.21;2007580;1201448
salmon;1;2014-05-26 19-30-34 UTC;469064;3580544;88.42;353288;1756724;3891332;47.21;2008004;1197808
salmon;1;2014-05-26 19-30-35 UTC;468936;3580672;88.42;353288;1756604;3891332;47.21;2008340;1197244
salmon;1;2014-05-26 19-30-36 UTC;470860;3578748;88.37;353288;1756496;3890112;47.20;2007384;1197336
salmon;1;2014-05-26 19-30-37 UTC;468756;3580852;88.42;353288;1758444;3890112;47.20;2007596;1199312
salmon;1;2014-05-26 19-30-38 UTC;469924;3579684;88.40;353288;1756688;3891844;47.22;2008080;1196936
