# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-54-02 UTC;-1;8.29;0.00;86.43;0.50;0.00;4.77
salmon;1;2014-05-26 19-54-03 UTC;-1;15.58;0.00;84.42;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-04 UTC;-1;8.73;0.00;91.27;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-05 UTC;-1;9.52;0.00;90.48;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-06 UTC;-1;9.77;0.00;90.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-07 UTC;-1;7.73;0.00;92.27;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-08 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-09 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-10 UTC;-1;5.99;0.00;94.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-11 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-12 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-13 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-14 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-15 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-16 UTC;-1;4.76;0.00;95.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-17 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-18 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-19 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-20 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-21 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-54-28 UTC;-1;4.27;0.00;89.70;0.25;0.00;5.78
salmon;1;2014-05-26 19-54-29 UTC;-1;10.50;0.00;89.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-30 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-31 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-32 UTC;-1;12.00;0.00;88.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-33 UTC;-1;5.24;0.00;94.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-34 UTC;-1;5.54;0.00;94.46;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-35 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-36 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-37 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-38 UTC;-1;5.99;0.00;94.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-39 UTC;-1;4.51;0.00;95.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-40 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-41 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-42 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-43 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-44 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-45 UTC;-1;4.98;0.00;95.02;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-46 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-54-47 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
