# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-54-02 UTC;127056;3922552;96.86;239472;2210364;3798312;46.09;1881704;1668512
salmon;1;2014-05-26 19-54-03 UTC;160912;3888696;96.03;231400;2172944;3824036;46.40;1891596;1624076
salmon;1;2014-05-26 19-54-04 UTC;114788;3934820;97.17;231428;2176816;3867792;46.93;1934432;1627792
salmon;1;2014-05-26 19-54-05 UTC;114288;3935320;97.18;231432;2176536;3869040;46.94;1936596;1626844
salmon;1;2014-05-26 19-54-06 UTC;112148;3937460;97.23;231456;2176208;3870552;46.96;1938200;1626356
salmon;1;2014-05-26 19-54-07 UTC;107668;3941940;97.34;231472;2180652;3871744;46.98;1939172;1630712
salmon;1;2014-05-26 19-54-08 UTC;114008;3935600;97.18;231524;2173716;3871744;46.98;1939176;1624232
salmon;1;2014-05-26 19-54-09 UTC;111156;3938452;97.26;231568;2176148;3871744;46.98;1939280;1626588
salmon;1;2014-05-26 19-54-10 UTC;132572;3917036;96.73;230716;2150980;3889472;47.19;1940724;1604096
salmon;1;2014-05-26 19-54-11 UTC;130440;3919168;96.78;230756;2151700;3898392;47.30;1941416;1604800
salmon;1;2014-05-26 19-54-12 UTC;128836;3920772;96.82;230764;2150292;3906672;47.40;1944272;1603400
salmon;1;2014-05-26 19-54-13 UTC;126984;3922624;96.86;230776;2151184;3906888;47.40;1945536;1604272
salmon;1;2014-05-26 19-54-14 UTC;128124;3921484;96.84;230792;2149920;3907128;47.41;1945672;1603268
salmon;1;2014-05-26 19-54-15 UTC;128992;3920616;96.81;230800;2148200;3907128;47.41;1945728;1601332
salmon;1;2014-05-26 19-54-16 UTC;126016;3923592;96.89;230828;2151996;3907128;47.41;1945780;1604956
salmon;1;2014-05-26 19-54-17 UTC;127892;3921716;96.84;230848;2150056;3907128;47.41;1945716;1603516
salmon;1;2014-05-26 19-54-18 UTC;124544;3925064;96.92;230868;2153352;3907128;47.41;1945876;1606516
salmon;1;2014-05-26 19-54-19 UTC;127520;3922088;96.85;231036;2150364;3907128;47.41;1945904;1603720
salmon;1;2014-05-26 19-54-20 UTC;127032;3922576;96.86;231044;2150916;3907128;47.41;1945812;1603992
salmon;1;2014-05-26 19-54-21 UTC;125512;3924096;96.90;231056;2152252;3908612;47.42;1946188;1605328
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-54-28 UTC;204112;3845496;94.96;231180;2148416;3787728;45.96;1855344;1615104
salmon;1;2014-05-26 19-54-29 UTC;190488;3859120;95.30;231188;2149100;3802392;46.14;1871332;1613580
salmon;1;2014-05-26 19-54-30 UTC;143392;3906216;96.46;231192;2149204;3864716;46.89;1917616;1613452
salmon;1;2014-05-26 19-54-31 UTC;138336;3911272;96.58;231212;2149296;3868220;46.93;1927056;1607796
salmon;1;2014-05-26 19-54-32 UTC;136308;3913300;96.63;231212;2149480;3870596;46.96;1929752;1607956
salmon;1;2014-05-26 19-54-33 UTC;135392;3914216;96.66;231212;2149768;3871364;46.97;1930616;1607872
salmon;1;2014-05-26 19-54-34 UTC;126488;3923120;96.88;231212;2150548;3898032;47.30;1938112;1608688
salmon;1;2014-05-26 19-54-35 UTC;126612;3922996;96.87;231212;2149804;3898032;47.30;1944616;1601660
salmon;1;2014-05-26 19-54-36 UTC;122760;3926848;96.97;231216;2153004;3898520;47.30;1946768;1603756
salmon;1;2014-05-26 19-54-37 UTC;116892;3932716;97.11;231224;2152612;3932164;47.71;1953320;1602060
salmon;1;2014-05-26 19-54-38 UTC;118784;3930824;97.07;231232;2151444;3932164;47.71;1956348;1597436
salmon;1;2014-05-26 19-54-39 UTC;116536;3933072;97.12;231248;2153144;3932164;47.71;1960052;1595816
salmon;1;2014-05-26 19-54-40 UTC;113560;3936048;97.20;231252;2157296;3932164;47.71;1965340;1594368
salmon;1;2014-05-26 19-54-41 UTC;116288;3933320;97.13;231264;2155004;3932164;47.71;1965236;1592272
salmon;1;2014-05-26 19-54-42 UTC;117792;3931816;97.09;231276;2153224;3932164;47.71;1966816;1588788
salmon;1;2014-05-26 19-54-43 UTC;122768;3926840;96.97;231276;2150472;3931392;47.70;1963576;1586300
salmon;1;2014-05-26 19-54-44 UTC;120824;3928784;97.02;231276;2153020;3906768;47.40;1963444;1588800
salmon;1;2014-05-26 19-54-45 UTC;116996;3932612;97.11;231276;2156424;3906768;47.40;1963408;1592148
salmon;1;2014-05-26 19-54-46 UTC;116624;3932984;97.12;231288;2156628;3906768;47.40;1963444;1592220
salmon;1;2014-05-26 19-54-47 UTC;123940;3925668;96.94;231292;2149780;3906768;47.40;1963340;1585340
