# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-20-41 UTC;-1;3.99;0.00;88.78;1.25;0.00;5.99
salmon;1;2014-05-26 19-20-42 UTC;-1;6.23;0.00;93.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-43 UTC;-1;4.51;0.00;95.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-44 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-45 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-46 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-47 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-48 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-49 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-50 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-51 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-52 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-53 UTC;-1;5.03;0.00;94.97;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-54 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-55 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-56 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-57 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-58 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-59 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-00 UTC;-1;7.27;0.00;92.73;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-21-07 UTC;-1;2.51;0.00;91.21;0.00;0.00;6.28
salmon;1;2014-05-26 19-21-08 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-09 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-10 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-11 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-12 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-13 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-14 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-15 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-16 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-17 UTC;-1;2.76;0.00;97.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-18 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-19 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-20 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-21 UTC;-1;5.01;0.00;94.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-22 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-23 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-24 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-25 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-21-26 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
