# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-20-41 UTC;140688;3908920;96.53;443848;2022644;3760988;45.63;2142208;1387004
salmon;1;2014-05-26 19-20-42 UTC;139356;3910252;96.56;443848;2017952;3782484;45.89;2149448;1379876
salmon;1;2014-05-26 19-20-43 UTC;130388;3919220;96.78;443888;2021344;3787368;45.95;2154768;1383764
salmon;1;2014-05-26 19-20-44 UTC;131424;3918184;96.75;443920;2017704;3790552;45.99;2157428;1380036
salmon;1;2014-05-26 19-20-45 UTC;121920;3927688;96.99;443928;2021708;3796040;46.06;2162696;1383800
salmon;1;2014-05-26 19-20-46 UTC;116200;3933408;97.13;443936;2024352;3798432;46.09;2165496;1386112
salmon;1;2014-05-26 19-20-47 UTC;113872;3935736;97.19;443952;2024660;3799848;46.10;2167272;1386840
salmon;1;2014-05-26 19-20-48 UTC;115328;3934280;97.15;443956;2021408;3801484;46.12;2168740;1383376
salmon;1;2014-05-26 19-20-49 UTC;112460;3937148;97.22;443960;2022800;3803392;46.15;2170352;1384680
salmon;1;2014-05-26 19-20-50 UTC;105716;3943892;97.39;443968;2029084;3804060;46.16;2171384;1390816
salmon;1;2014-05-26 19-20-51 UTC;109768;3939840;97.29;443972;2022868;3814340;46.28;2173524;1384740
salmon;1;2014-05-26 19-20-52 UTC;103544;3946064;97.44;443988;2027736;3823476;46.39;2174468;1389488
salmon;1;2014-05-26 19-20-53 UTC;158588;3891020;96.08;442780;1973280;3833676;46.51;2124224;1385016
salmon;1;2014-05-26 19-20-54 UTC;158912;3890696;96.08;442780;1972236;3833676;46.51;2124488;1384616
salmon;1;2014-05-26 19-20-55 UTC;158664;3890944;96.08;442780;1972692;3833676;46.51;2124540;1384752
salmon;1;2014-05-26 19-20-56 UTC;160872;3888736;96.03;442780;1970144;3833676;46.51;2124760;1382084
salmon;1;2014-05-26 19-20-57 UTC;155572;3894036;96.16;442780;1975952;3833676;46.51;2125432;1387272
salmon;1;2014-05-26 19-20-58 UTC;158704;3890904;96.08;442780;1972572;3833676;46.51;2125872;1383508
salmon;1;2014-05-26 19-20-59 UTC;156472;3893136;96.14;442780;1974868;3833836;46.52;2126304;1385344
salmon;1;2014-05-26 19-21-00 UTC;157300;3892308;96.12;442780;1973608;3835976;46.54;2127916;1383240
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-21-07 UTC;188852;3860756;95.34;442808;1970524;3761040;45.63;2081708;1394924
salmon;1;2014-05-26 19-21-08 UTC;178684;3870924;95.59;442812;1970192;3787288;45.95;2091836;1394520
salmon;1;2014-05-26 19-21-09 UTC;167268;3882340;95.87;442812;1971584;3798236;46.08;2112784;1384516
salmon;1;2014-05-26 19-21-10 UTC;156836;3892772;96.13;442812;1971872;3824440;46.40;2130876;1376556
salmon;1;2014-05-26 19-21-11 UTC;156216;3893392;96.14;442816;1971308;3833864;46.52;2135040;1373176
salmon;1;2014-05-26 19-21-12 UTC;147528;3902080;96.36;442816;1979648;3833864;46.52;2135276;1380648
salmon;1;2014-05-26 19-21-13 UTC;149828;3899780;96.30;442816;1977000;3866800;46.92;2135644;1378176
salmon;1;2014-05-26 19-21-14 UTC;152480;3897128;96.23;442816;1974100;3859312;46.83;2136416;1375348
salmon;1;2014-05-26 19-21-15 UTC;152480;3897128;96.23;442816;1973932;3859312;46.83;2136572;1375056
salmon;1;2014-05-26 19-21-16 UTC;152604;3897004;96.23;442820;1973876;3860004;46.83;2137108;1375184
salmon;1;2014-05-26 19-21-17 UTC;147752;3901856;96.35;442820;1978880;3860004;46.83;2137360;1379748
salmon;1;2014-05-26 19-21-18 UTC;150348;3899260;96.29;442820;1976368;3860004;46.83;2137376;1376940
salmon;1;2014-05-26 19-21-19 UTC;151612;3897996;96.26;442820;1973988;3860004;46.83;2137776;1374840
salmon;1;2014-05-26 19-21-20 UTC;152108;3897500;96.24;442820;1973688;3860004;46.83;2137692;1374396
salmon;1;2014-05-26 19-21-21 UTC;153664;3895944;96.21;442824;1971968;3900984;47.33;2138020;1372852
salmon;1;2014-05-26 19-21-22 UTC;144900;3904708;96.42;442824;1979632;3860356;46.84;2138388;1380460
salmon;1;2014-05-26 19-21-23 UTC;150108;3899500;96.29;442824;1975256;3860356;46.84;2138384;1375732
salmon;1;2014-05-26 19-21-24 UTC;153688;3895920;96.20;442824;1971008;3860356;46.84;2138484;1371584
salmon;1;2014-05-26 19-21-25 UTC;148852;3900756;96.32;442828;1976800;3860356;46.84;2138876;1376888
salmon;1;2014-05-26 19-21-26 UTC;150292;3899316;96.29;442832;1974492;3861560;46.85;2138860;1374680
