# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-11-46 UTC;222260;3827348;94.51;446848;1942484;3786752;45.95;2120580;1331224
salmon;1;2014-05-26 19-11-47 UTC;232720;3816888;94.25;446848;1931740;3786752;45.95;2120916;1320592
salmon;1;2014-05-26 19-11-48 UTC;230364;3819244;94.31;446848;1935508;3786752;45.95;2120980;1324132
salmon;1;2014-05-26 19-11-49 UTC;228968;3820640;94.35;446848;1933920;3821512;46.37;2122684;1322712
salmon;1;2014-05-26 19-11-50 UTC;225736;3823872;94.43;446848;1937332;3821980;46.37;2123276;1325808
salmon;1;2014-05-26 19-11-51 UTC;227992;3821616;94.37;446848;1933636;3821980;46.37;2123292;1322516
salmon;1;2014-05-26 19-11-52 UTC;224412;3825196;94.46;446848;1933484;3842832;46.63;2127504;1321868
salmon;1;2014-05-26 19-11-53 UTC;222960;3826648;94.49;446848;1933296;3842832;46.63;2127604;1322108
salmon;1;2014-05-26 19-11-54 UTC;219132;3830476;94.59;446848;1937580;3842832;46.63;2127676;1326276
salmon;1;2014-05-26 19-11-55 UTC;214808;3834800;94.70;446848;1942404;3843500;46.63;2128076;1330576
salmon;1;2014-05-26 19-11-56 UTC;222372;3827236;94.51;446848;1933980;3843500;46.63;2128244;1322548
salmon;1;2014-05-26 19-11-57 UTC;220992;3828616;94.54;446848;1935996;3843500;46.63;2128116;1324416
salmon;1;2014-05-26 19-11-58 UTC;221456;3828152;94.53;446848;1935376;3843500;46.63;2128352;1323764
salmon;1;2014-05-26 19-11-59 UTC;220820;3828788;94.55;446848;1935356;3843788;46.64;2128488;1323700
salmon;1;2014-05-26 19-12-00 UTC;222476;3827132;94.51;446848;1933536;3843788;46.64;2128440;1321860
salmon;1;2014-05-26 19-12-01 UTC;222724;3826884;94.50;446848;1933036;3843788;46.64;2128408;1321612
salmon;1;2014-05-26 19-12-02 UTC;218872;3830736;94.60;446848;1938088;3843788;46.64;2128592;1326204
salmon;1;2014-05-26 19-12-03 UTC;220144;3829464;94.56;446848;1936656;3844276;46.64;2128828;1324744
salmon;1;2014-05-26 19-12-04 UTC;216384;3833224;94.66;446848;1939196;3844276;46.64;2129128;1327324
salmon;1;2014-05-26 19-12-05 UTC;220540;3829068;94.55;446848;1933704;3847012;46.68;2130312;1321900
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-12-11 UTC;225816;3823792;94.42;446872;1933648;3787316;45.95;2103980;1339780
salmon;1;2014-05-26 19-12-12 UTC;224592;3825016;94.45;446880;1933540;3812896;46.26;2105044;1339708
salmon;1;2014-05-26 19-12-13 UTC;223996;3825612;94.47;446880;1933712;3813712;46.27;2105712;1339680
salmon;1;2014-05-26 19-12-14 UTC;223740;3825868;94.48;446880;1933824;3814160;46.28;2106112;1339896
salmon;1;2014-05-26 19-12-15 UTC;222764;3826844;94.50;446880;1934132;3814160;46.28;2106428;1339792
salmon;1;2014-05-26 19-12-16 UTC;216620;3832988;94.65;446880;1935048;3834540;46.53;2125040;1325988
salmon;1;2014-05-26 19-12-17 UTC;209844;3839764;94.82;446880;1942120;3834540;46.53;2127612;1330928
salmon;1;2014-05-26 19-12-18 UTC;217112;3832496;94.64;446884;1934136;3834668;46.53;2128552;1321996
salmon;1;2014-05-26 19-12-19 UTC;216244;3833364;94.66;446884;1935272;3834668;46.53;2128680;1323124
salmon;1;2014-05-26 19-12-20 UTC;214228;3835380;94.71;446892;1937140;3834920;46.53;2129076;1324796
salmon;1;2014-05-26 19-12-21 UTC;209268;3840340;94.83;446900;1941628;3834920;46.53;2129100;1329468
salmon;1;2014-05-26 19-12-22 UTC;212244;3837364;94.76;446908;1939500;3834920;46.53;2129108;1326992
salmon;1;2014-05-26 19-12-23 UTC;209376;3840232;94.83;446908;1941916;3835072;46.53;2129176;1329552
salmon;1;2014-05-26 19-12-24 UTC;212460;3837148;94.75;446908;1939008;3835072;46.53;2129188;1326552
salmon;1;2014-05-26 19-12-25 UTC;209468;3840140;94.83;446916;1942012;3835072;46.53;2129304;1329548
salmon;1;2014-05-26 19-12-26 UTC;215016;3834592;94.69;446916;1936460;3835784;46.54;2129416;1324084
salmon;1;2014-05-26 19-12-27 UTC;208888;3840720;94.84;446916;1942280;3835924;46.54;2129808;1329508
salmon;1;2014-05-26 19-12-28 UTC;212732;3836876;94.75;446916;1937472;3835588;46.54;2129816;1325012
salmon;1;2014-05-26 19-12-29 UTC;210904;3838704;94.79;446920;1939172;3836100;46.54;2129876;1326844
salmon;1;2014-05-26 19-12-30 UTC;219700;3829908;94.57;446924;1934476;3817124;46.31;2126496;1322220
