# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-32-45 UTC;-1;10.83;0.00;83.38;0.00;0.00;5.79
salmon;1;2014-05-26 20-32-46 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-47 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-48 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-49 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-50 UTC;-1;2.76;0.00;97.24;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-51 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-52 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-53 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-54 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-55 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-56 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-57 UTC;-1;1.99;0.00;98.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-58 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-59 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-00 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-01 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-02 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-03 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-04 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-33-11 UTC;-1;7.54;0.00;86.93;0.00;0.00;5.53
salmon;1;2014-05-26 20-33-12 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-13 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-14 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-15 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-16 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-17 UTC;-1;0.75;0.00;99.00;0.00;0.00;0.25
salmon;1;2014-05-26 20-33-18 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-19 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-20 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-21 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-22 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-23 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-24 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-25 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-26 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-27 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-28 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-29 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-33-30 UTC;-1;1.24;0.00;98.76;0.00;0.00;0.00
