# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-32-45 UTC;314536;3735072;92.23;231768;2048896;3792312;46.01;1944920;1422628
salmon;1;2014-05-26 20-32-46 UTC;306336;3743272;92.44;231768;2057104;3792312;46.01;1948560;1426992
salmon;1;2014-05-26 20-32-47 UTC;309436;3740172;92.36;231768;2053676;3792308;46.01;1948632;1423620
salmon;1;2014-05-26 20-32-48 UTC;305964;3743644;92.44;231772;2056756;3792308;46.01;1948728;1426616
salmon;1;2014-05-26 20-32-49 UTC;313916;3735692;92.25;231772;2048844;3792308;46.01;1948620;1418908
salmon;1;2014-05-26 20-32-50 UTC;313172;3736436;92.27;231780;2048800;3792576;46.02;1949312;1419164
salmon;1;2014-05-26 20-32-51 UTC;313264;3736344;92.26;231784;2048248;3792712;46.02;1949592;1418516
salmon;1;2014-05-26 20-32-52 UTC;309048;3740560;92.37;231784;2053676;3792712;46.02;1949464;1423288
salmon;1;2014-05-26 20-32-53 UTC;309544;3740064;92.36;231784;2052936;3792712;46.02;1949400;1422768
salmon;1;2014-05-26 20-32-54 UTC;305452;3744156;92.46;231824;2056132;3792712;46.02;1949556;1426156
salmon;1;2014-05-26 20-32-55 UTC;308056;3741552;92.39;231828;2053680;3792712;46.02;1949636;1423640
salmon;1;2014-05-26 20-32-56 UTC;310412;3739196;92.33;231828;2050580;3792712;46.02;1949472;1420828
salmon;1;2014-05-26 20-32-57 UTC;312396;3737212;92.29;231832;2049368;3792712;46.02;1949472;1419592
salmon;1;2014-05-26 20-32-58 UTC;308428;3741180;92.38;231836;2053352;3792712;46.02;1949520;1423196
salmon;1;2014-05-26 20-32-59 UTC;312272;3737336;92.29;231844;2048884;3792712;46.02;1949576;1418912
salmon;1;2014-05-26 20-33-00 UTC;309932;3739676;92.35;231844;2051452;3792712;46.02;1949528;1421556
salmon;1;2014-05-26 20-33-01 UTC;305352;3744256;92.46;231844;2056768;3792712;46.02;1949536;1426756
salmon;1;2014-05-26 20-33-02 UTC;304484;3745124;92.48;231852;2057064;3792712;46.02;1949796;1426908
salmon;1;2014-05-26 20-33-03 UTC;311800;3737808;92.30;231860;2048784;3792712;46.02;1949652;1419060
salmon;1;2014-05-26 20-33-04 UTC;309288;3740320;92.36;231860;2052488;3793896;46.03;1949600;1422272
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-33-11 UTC;308924;3740684;92.37;231916;2049232;3792444;46.01;1929960;1437040
salmon;1;2014-05-26 20-33-12 UTC;308296;3741312;92.39;231916;2049560;3792444;46.01;1930732;1437512
salmon;1;2014-05-26 20-33-13 UTC;308296;3741312;92.39;231916;2049564;3792444;46.01;1930736;1437592
salmon;1;2014-05-26 20-33-14 UTC;308064;3741544;92.39;231916;2049560;3792444;46.01;1930740;1437512
salmon;1;2014-05-26 20-33-15 UTC;307816;3741792;92.40;231916;2049784;3792444;46.01;1930740;1437740
salmon;1;2014-05-26 20-33-16 UTC;307584;3742024;92.40;231916;2049984;3792444;46.01;1930780;1437824
salmon;1;2014-05-26 20-33-17 UTC;307460;3742148;92.41;231916;2049984;3792444;46.01;1930780;1437824
salmon;1;2014-05-26 20-33-18 UTC;307460;3742148;92.41;231920;2049980;3792444;46.01;1930808;1437720
salmon;1;2014-05-26 20-33-19 UTC;307460;3742148;92.41;231920;2049920;3792444;46.01;1930864;1437824
salmon;1;2014-05-26 20-33-20 UTC;304236;3745372;92.49;231928;2052856;3792444;46.01;1947068;1424596
salmon;1;2014-05-26 20-33-21 UTC;296060;3753548;92.69;231932;2061284;3792444;46.01;1947804;1431656
salmon;1;2014-05-26 20-33-22 UTC;295688;3753920;92.70;231932;2061332;3792444;46.01;1948032;1431936
salmon;1;2014-05-26 20-33-23 UTC;295812;3753796;92.70;231932;2061220;3792444;46.01;1948044;1432000
salmon;1;2014-05-26 20-33-24 UTC;295812;3753796;92.70;231932;2061332;3792444;46.01;1948060;1431912
salmon;1;2014-05-26 20-33-25 UTC;299780;3749828;92.60;231940;2056384;3792444;46.01;1948656;1427032
salmon;1;2014-05-26 20-33-26 UTC;304244;3745364;92.49;231944;2051940;3792444;46.01;1949128;1421636
salmon;1;2014-05-26 20-33-27 UTC;304392;3745216;92.48;231944;2051872;3792444;46.01;1949076;1421676
salmon;1;2014-05-26 20-33-28 UTC;306500;3743108;92.43;231948;2049560;3792444;46.01;1949236;1419080
salmon;1;2014-05-26 20-33-29 UTC;306500;3743108;92.43;231948;2049756;3792444;46.01;1949344;1419116
salmon;1;2014-05-26 20-33-30 UTC;306344;3743264;92.44;231948;2049840;3793964;46.03;1949572;1419192
