# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-14-16 UTC;-1;1.51;0;91.46;1.26;0;5.78
salmon;1;2014-05-26 19-14-17 UTC;-1;4.51;0;95.49;0;0;0
salmon;1;2014-05-26 19-14-18 UTC;-1;5.49;0;94.51;0;0;0
salmon;1;2014-05-26 19-14-19 UTC;-1;0.5;0;99.5;0;0;0
salmon;1;2014-05-26 19-14-20 UTC;-1;1.25;0;98.75;0;0;0
salmon;1;2014-05-26 19-14-21 UTC;-1;1.25;0;98.75;0;0;0
salmon;1;2014-05-26 19-14-22 UTC;-1;0.75;0;99.25;0;0;0
salmon;1;2014-05-26 19-14-23 UTC;-1;1.76;0;98.24;0;0;0
salmon;1;2014-05-26 19-14-24 UTC;-1;1.75;0;98.25;0;0;0
salmon;1;2014-05-26 19-14-25 UTC;-1;7;0;93;0;0;0
salmon;1;2014-05-26 19-14-26 UTC;-1;1.75;0;98.25;0;0;0
salmon;1;2014-05-26 19-14-27 UTC;-1;1;0;99;0;0;0
salmon;1;2014-05-26 19-14-28 UTC;-1;10.75;0;89.25;0;0;0
salmon;1;2014-05-26 19-14-29 UTC;-1;11;0;89;0;0;0
salmon;1;2014-05-26 19-14-30 UTC;-1;8.71;0;91.04;0.25;0;0
salmon;1;2014-05-26 19-14-31 UTC;-1;3.5;0;96.5;0;0;0
salmon;1;2014-05-26 19-14-32 UTC;-1;1.25;0;98.75;0;0;0
salmon;1;2014-05-26 19-14-33 UTC;-1;2.5;0;97.5;0;0;0
salmon;1;2014-05-26 19-14-34 UTC;-1;4.5;0;95.5;0;0;0
salmon;1;2014-05-26 19-14-35 UTC;-1;2.5;0;97.5;0;0;0
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-16-31 UTC;-1;7.77;0;87.97;0;0;4.26
salmon;1;2014-05-26 19-16-32 UTC;-1;10.22;0;89.78;0;0;0
salmon;1;2014-05-26 19-16-33 UTC;-1;0.5;0;99.5;0;0;0
salmon;1;2014-05-26 19-16-34 UTC;-1;6;0;93.75;0.25;0;0
salmon;1;2014-05-26 19-16-35 UTC;-1;2.75;0;97.25;0;0;0
salmon;1;2014-05-26 19-16-36 UTC;-1;2.26;0;97.74;0;0;0
salmon;1;2014-05-26 19-16-37 UTC;-1;1.25;0;98.75;0;0;0
salmon;1;2014-05-26 19-16-38 UTC;-1;1;0;99;0;0;0
salmon;1;2014-05-26 19-16-39 UTC;-1;5.24;0;94.76;0;0;0
salmon;1;2014-05-26 19-16-40 UTC;-1;2;0;98;0;0;0
salmon;1;2014-05-26 19-16-41 UTC;-1;2.01;0;97.99;0;0;0
salmon;1;2014-05-26 19-16-42 UTC;-1;3.49;0;96.51;0;0;0
salmon;1;2014-05-26 19-16-43 UTC;-1;3.73;0;96.27;0;0;0
salmon;1;2014-05-26 19-16-44 UTC;-1;5.76;0;94.24;0;0;0
salmon;1;2014-05-26 19-16-45 UTC;-1;2.49;0;97.51;0;0;0
salmon;1;2014-05-26 19-16-46 UTC;-1;2.5;0;97.5;0;0;0
salmon;1;2014-05-26 19-16-47 UTC;-1;2.26;0;97.74;0;0;0
salmon;1;2014-05-26 19-16-48 UTC;-1;1.75;0;98.25;0;0;0
salmon;1;2014-05-26 19-16-49 UTC;-1;3.5;0;96.5;0;0;0
salmon;1;2014-05-26 19-16-50 UTC;-1;1.25;0;98.75;0;0;0
