# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-14-16 UTC;239292;3810316;94.09;447132;1934824;3752304;45.53;2096120;1340136
salmon;1;2014-05-26 19-14-17 UTC;235616;3813992;94.18;447148;1938132;3752512;45.53;2111960;1327868
salmon;1;2014-05-26 19-14-18 UTC;225488;3824120;94.43;447148;1947760;3752572;45.53;2114044;1335572
salmon;1;2014-05-26 19-14-19 UTC;233176;3816432;94.24;447156;1939616;3752624;45.53;2115128;1326556
salmon;1;2014-05-26 19-14-20 UTC;231780;3817828;94.28;447172;1941044;3752720;45.53;2115404;1327784
salmon;1;2014-05-26 19-14-21 UTC;224352;3825256;94.46;447180;1947932;3752848;45.53;2115716;1334440
salmon;1;2014-05-26 19-14-22 UTC;223624;3825984;94.48;447204;1947984;3752836;45.53;2115968;1334644
salmon;1;2014-05-26 19-14-23 UTC;229544;3820064;94.33;447208;1942580;3753100;45.54;2115900;1329044
salmon;1;2014-05-26 19-14-24 UTC;228304;3821304;94.36;447216;1943816;3753292;45.54;2116460;1329960
salmon;1;2014-05-26 19-14-25 UTC;191876;3857732;95.26;447216;1952660;3780692;45.87;2144016;1338412
salmon;1;2014-05-26 19-14-26 UTC;191796;3857812;95.26;447224;1951048;3781504;45.88;2144836;1337000
salmon;1;2014-05-26 19-14-27 UTC;195004;3854604;95.18;447232;1947416;3781504;45.88;2144936;1333356
salmon;1;2014-05-26 19-14-28 UTC;193716;3855892;95.22;447252;1949104;3782072;45.89;2145296;1334828
salmon;1;2014-05-26 19-14-29 UTC;173704;3875904;95.71;447344;1958336;3824800;46.41;2159504;1339140
salmon;1;2014-05-26 19-14-30 UTC;175616;3873992;95.66;447444;1951556;3826732;46.43;2164112;1332152
salmon;1;2014-05-26 19-14-31 UTC;175508;3874100;95.67;447444;1951752;3826732;46.43;2164332;1332340
salmon;1;2014-05-26 19-14-32 UTC;175504;3874104;95.67;447444;1951084;3826732;46.43;2164220;1331896
salmon;1;2014-05-26 19-14-33 UTC;173536;3876072;95.71;447444;1952528;3826732;46.43;2164444;1333008
