# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-04-26 UTC;-1;16.83;0.00;77.14;0.00;0.00;6.03
salmon;1;2014-05-26 03-04-27 UTC;-1;10.47;0.00;89.53;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-28 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-29 UTC;-1;5.99;0.00;94.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-30 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-31 UTC;-1;10.75;0.00;89.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-32 UTC;-1;7.25;0.00;92.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-33 UTC;-1;12.22;0.00;87.78;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-34 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-35 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-36 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-37 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-38 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-39 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-40 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-41 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-42 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-43 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-44 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-45 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-46 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-47 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-48 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-49 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-50 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-51 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-52 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-53 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-54 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-04-55 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-05-02 UTC;-1;5.28;0.00;89.45;1.76;0.00;3.52
salmon;1;2014-05-26 03-05-03 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-04 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-05 UTC;-1;5.76;0.00;94.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-06 UTC;-1;6.48;0.00;93.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-07 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-08 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-09 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-10 UTC;-1;12.50;0.00;87.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-11 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-12 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-13 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-14 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-15 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-16 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-17 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-05-18 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
