# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-04-26 UTC;1135480;2914128;71.96;305588;1352404;3794292;46.04;1824992;869084
salmon;1;2014-05-26 03-04-27 UTC;1137628;2911980;71.91;305664;1339720;3844816;46.65;1835276;856340
salmon;1;2014-05-26 03-04-28 UTC;1137592;2912016;71.91;305712;1339732;3844908;46.65;1835600;856420
salmon;1;2014-05-26 03-04-29 UTC;1134812;2914796;71.98;305776;1340576;3840104;46.59;1838264;857204
salmon;1;2014-05-26 03-04-30 UTC;1134488;2915120;71.99;305812;1341428;3790388;45.99;1838488;857628
salmon;1;2014-05-26 03-04-31 UTC;1123528;2926080;72.26;305876;1342924;3824080;46.40;1847540;858956
salmon;1;2014-05-26 03-04-32 UTC;1113328;2936280;72.51;305972;1342044;3833564;46.51;1857144;857984
salmon;1;2014-05-26 03-04-33 UTC;1107808;2941800;72.64;306016;1345764;3835796;46.54;1859580;861660
salmon;1;2014-05-26 03-04-34 UTC;1112468;2937140;72.53;306056;1341256;3835796;46.54;1859916;857096
salmon;1;2014-05-26 03-04-35 UTC;1113584;2936024;72.50;306120;1340048;3835796;46.54;1860220;855672
salmon;1;2014-05-26 03-04-36 UTC;1112840;2936768;72.52;306164;1341660;3835796;46.54;1860132;857284
salmon;1;2014-05-26 03-04-37 UTC;1110112;2939496;72.59;306224;1343788;3835796;46.54;1860304;859320
salmon;1;2014-05-26 03-04-38 UTC;1112096;2937512;72.54;306280;1341488;3836088;46.54;1860572;856700
salmon;1;2014-05-26 03-04-39 UTC;1111724;2937884;72.55;306316;1341676;3836088;46.54;1861032;856864
salmon;1;2014-05-26 03-04-40 UTC;1110112;2939496;72.59;306388;1343696;3836608;46.55;1861336;858696
salmon;1;2014-05-26 03-04-41 UTC;1111484;2938124;72.55;306412;1341316;3836608;46.55;1861504;856472
salmon;1;2014-05-26 03-04-42 UTC;1113360;2936248;72.51;306484;1339888;3836608;46.55;1861648;854708
salmon;1;2014-05-26 03-04-43 UTC;1111320;2938288;72.56;306572;1341324;3828412;46.45;1861888;856456
salmon;1;2014-05-26 03-04-44 UTC;1107360;2942248;72.66;306608;1345500;3828412;46.45;1862208;860164
