# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-20-09 UTC;1083224;2966384;73.25;314564;1389388;3694524;44.83;1868052;877544
salmon;1;2014-05-26 03-20-10 UTC;1080208;2969400;73.33;314624;1390716;3695676;44.84;1875016;873836
salmon;1;2014-05-26 03-20-11 UTC;1074904;2974704;73.46;314780;1391584;3699816;44.89;1892220;861404
salmon;1;2014-05-26 03-20-12 UTC;1067712;2981896;73.63;314788;1396888;3701864;44.92;1894640;866348
salmon;1;2014-05-26 03-20-13 UTC;1069724;2979884;73.58;314928;1392548;3702944;44.93;1896024;862152
salmon;1;2014-05-26 03-20-14 UTC;1069644;2979964;73.59;314940;1392400;3703088;44.93;1896220;862016
salmon;1;2014-05-26 03-20-15 UTC;1068220;2981388;73.62;314952;1392200;3736808;45.34;1897408;862096
salmon;1;2014-05-26 03-20-16 UTC;1067004;2982604;73.65;314964;1394224;3736808;45.34;1897488;863692
salmon;1;2014-05-26 03-20-17 UTC;1066324;2983284;73.67;314984;1394416;3736808;45.34;1897736;864000
salmon;1;2014-05-26 03-20-18 UTC;1067976;2981632;73.63;315012;1392584;3737000;45.34;1897628;861964
salmon;1;2014-05-26 03-20-19 UTC;1063996;2985612;73.73;315032;1396532;3737000;45.34;1898224;865856
salmon;1;2014-05-26 03-20-20 UTC;1065360;2984248;73.69;315068;1394908;3737000;45.34;1898192;864116
salmon;1;2014-05-26 03-20-21 UTC;1067112;2982496;73.65;315100;1394120;3737000;45.34;1898360;863008
salmon;1;2014-05-26 03-20-22 UTC;1067236;2982372;73.65;315140;1392576;3737000;45.34;1898452;861600
salmon;1;2014-05-26 03-20-23 UTC;1067096;2982512;73.65;315156;1393000;3737000;45.34;1898432;862080
salmon;1;2014-05-26 03-20-24 UTC;1063452;2986156;73.74;315176;1397280;3737000;45.34;1898456;866008
salmon;1;2014-05-26 03-20-25 UTC;1065792;2983816;73.68;315192;1394552;3737000;45.34;1898620;863456
salmon;1;2014-05-26 03-20-26 UTC;1063188;2986420;73.75;315204;1396956;3737000;45.34;1898820;865736
salmon;1;2014-05-26 03-20-27 UTC;1055932;2993676;73.93;315212;1398924;3742808;45.41;1904404;867772
salmon;1;2014-05-26 03-20-28 UTC;1061172;2988436;73.80;315228;1393128;3743468;45.42;1905232;861668
salmon;1;2014-05-26 03-20-29 UTC;1056788;2992820;73.90;315252;1395404;3745448;45.44;1907164;863964
