# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-09-20 UTC;-1;5.54;0.00;87.15;1.01;0.00;6.30
salmon;1;2014-05-26 03-09-21 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-22 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-23 UTC;-1;2.76;0.00;97.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-24 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-25 UTC;-1;8.48;0.00;91.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-26 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-27 UTC;-1;16.75;0.00;83.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-28 UTC;-1;15.50;0.00;84.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-29 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-30 UTC;-1;5.24;0.00;94.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-31 UTC;-1;9.27;0.00;90.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-32 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-33 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-34 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-35 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-36 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-37 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-38 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-39 UTC;-1;20.55;0.00;79.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-40 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-41 UTC;-1;13.28;0.00;86.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-42 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-43 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-44 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-45 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-46 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-47 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-48 UTC;-1;6.48;0.00;93.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-49 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-09-56 UTC;-1;9.27;0.00;85.71;0.00;0.00;5.01
salmon;1;2014-05-26 03-09-57 UTC;-1;11.78;0.00;88.22;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-58 UTC;-1;11.25;0.00;88.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-09-59 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-00 UTC;-1;25.56;0.00;74.44;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-01 UTC;-1;2.98;0.00;97.02;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-02 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-03 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-04 UTC;-1;6.97;0.00;93.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-05 UTC;-1;16.54;0.00;83.46;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-06 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-07 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-08 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-09 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-10 UTC;-1;8.27;0.00;91.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-11 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-12 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-13 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-14 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-15 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-16 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-17 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-18 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-19 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-20 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-21 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-22 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-23 UTC;-1;1.49;0.00;98.26;0.25;0.00;0.00
salmon;1;2014-05-26 03-10-24 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-10-25 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
