# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-09-20 UTC;1165732;2883876;71.21;307840;1338540;3697228;44.86;1810052;857552
salmon;1;2014-05-26 03-09-21 UTC;1159076;2890532;71.38;307908;1340272;3718032;45.11;1820804;852504
salmon;1;2014-05-26 03-09-22 UTC;1151192;2898416;71.57;307928;1345356;3720568;45.14;1823632;857324
salmon;1;2014-05-26 03-09-23 UTC;1149492;2900116;71.61;307960;1344640;3722580;45.17;1825800;856612
salmon;1;2014-05-26 03-09-24 UTC;1143820;2905788;71.75;308108;1345084;3734432;45.31;1829684;857284
salmon;1;2014-05-26 03-09-25 UTC;1123000;2926608;72.27;308312;1358360;3750420;45.50;1837140;870304
salmon;1;2014-05-26 03-09-26 UTC;1116720;2932888;72.42;308364;1359052;3771956;45.77;1842888;870588
salmon;1;2014-05-26 03-09-27 UTC;1110960;2938648;72.57;308404;1355736;3789256;45.98;1851276;867596
salmon;1;2014-05-26 03-09-28 UTC;1103256;2946352;72.76;308476;1356128;3793388;46.03;1858548;867684
salmon;1;2014-05-26 03-09-29 UTC;1103160;2946448;72.76;308536;1355776;3793388;46.03;1858884;867280
salmon;1;2014-05-26 03-09-30 UTC;1098140;2951468;72.88;308600;1361336;3793388;46.03;1859144;872784
salmon;1;2014-05-26 03-09-31 UTC;1083872;2965736;73.24;308632;1360332;3793908;46.03;1874780;871428
salmon;1;2014-05-26 03-09-32 UTC;1080228;2969380;73.33;308724;1362500;3793660;46.03;1875924;873424
salmon;1;2014-05-26 03-09-33 UTC;1087736;2961872;73.14;308776;1355740;3790744;45.99;1874360;866888
salmon;1;2014-05-26 03-09-34 UTC;1082520;2967088;73.27;308804;1360836;3886328;47.15;1874436;871680
salmon;1;2014-05-26 03-09-35 UTC;1072592;2977016;73.51;308876;1365316;3821360;46.37;1880000;875928
salmon;1;2014-05-26 03-09-36 UTC;1075104;2974504;73.45;308884;1357920;3825872;46.42;1884332;868936
salmon;1;2014-05-26 03-09-37 UTC;1073284;2976324;73.50;308888;1358348;3827508;46.44;1885836;869196
salmon;1;2014-05-26 03-09-38 UTC;1059216;2990392;73.84;308940;1370116;3838284;46.57;1888084;880600
salmon;1;2014-05-26 03-09-39 UTC;1014948;3034660;74.94;308964;1367924;3888696;47.18;1934680;878652
salmon;1;2014-05-26 03-09-40 UTC;1021808;3027800;74.77;309020;1368520;3866916;46.92;1926996;879160
salmon;1;2014-05-26 03-09-41 UTC;1072312;2977296;73.52;309068;1361928;3793152;46.02;1884788;872092
salmon;1;2014-05-26 03-09-42 UTC;1067080;2982528;73.65;309124;1363916;3889320;47.19;1886980;873956
salmon;1;2014-05-26 03-09-43 UTC;1074032;2975576;73.48;309156;1359504;3793344;46.03;1884964;869628
salmon;1;2014-05-26 03-09-44 UTC;1068148;2981460;73.62;309216;1365828;3793344;46.03;1885412;875644
salmon;1;2014-05-26 03-09-45 UTC;1073960;2975648;73.48;309252;1359480;3793344;46.03;1885192;869392
salmon;1;2014-05-26 03-09-46 UTC;1071976;2977632;73.53;309260;1361900;3793344;46.03;1885376;871660
salmon;1;2014-05-26 03-09-47 UTC;1069984;2979624;73.58;309300;1362120;3796736;46.07;1886544;871844
salmon;1;2014-05-26 03-09-48 UTC;1066776;2982832;73.66;309364;1364112;3800268;46.11;1888024;873820
salmon;1;2014-05-26 03-09-49 UTC;1064264;2985344;73.72;309404;1365312;3802336;46.13;1888884;874716
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
