# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-18-19 UTC;-1;11.28;0.00;83.21;0.00;0.00;5.51
salmon;1;2014-05-26 03-18-20 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-21 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-22 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-23 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-24 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-25 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-26 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-27 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-28 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-29 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-30 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-31 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-32 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-33 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-34 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-35 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-36 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-37 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-38 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-39 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-40 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-41 UTC;-1;3.48;0.00;96.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-42 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-43 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-44 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-45 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-46 UTC;-1;2.76;0.00;97.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-47 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-48 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-18-55 UTC;-1;9.02;0.00;85.96;1.00;0.00;4.01
salmon;1;2014-05-26 03-18-56 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-57 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-58 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-18-59 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-19-00 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-19-01 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
