# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-18-19 UTC;1055040;2994568;73.95;314500;1396680;3721296;45.15;1882816;886704
salmon;1;2014-05-26 03-18-20 UTC;1054956;2994652;73.95;314500;1396680;3721296;45.15;1882960;886556
salmon;1;2014-05-26 03-18-21 UTC;1054956;2994652;73.95;314500;1396900;3721296;45.15;1882976;886848
salmon;1;2014-05-26 03-18-22 UTC;1051716;2997892;74.03;314500;1398116;3740488;45.38;1885008;888020
salmon;1;2014-05-26 03-18-23 UTC;1051592;2998016;74.03;314504;1398236;3740488;45.38;1885044;888028
salmon;1;2014-05-26 03-18-24 UTC;1051468;2998140;74.04;314504;1398236;3740488;45.38;1885104;888172
salmon;1;2014-05-26 03-18-25 UTC;1051096;2998512;74.04;314504;1398236;3740620;45.39;1885212;887920
salmon;1;2014-05-26 03-18-26 UTC;1042556;3007052;74.26;314504;1397180;3749304;45.49;1894996;886972
salmon;1;2014-05-26 03-18-27 UTC;1042432;3007176;74.26;314504;1397180;3749304;45.49;1895120;886936
salmon;1;2014-05-26 03-18-28 UTC;1042432;3007176;74.26;314504;1397180;3749304;45.49;1895272;886784
salmon;1;2014-05-26 03-18-29 UTC;1042408;3007200;74.26;314504;1397148;3749304;45.49;1895420;886604
salmon;1;2014-05-26 03-18-30 UTC;1042160;3007448;74.27;314508;1397368;3749304;45.49;1895512;886736
salmon;1;2014-05-26 03-18-31 UTC;1042160;3007448;74.27;314512;1397480;3749304;45.49;1895516;886764
salmon;1;2014-05-26 03-18-32 UTC;1041540;3008068;74.28;314512;1397528;3749316;45.49;1896536;885912
salmon;1;2014-05-26 03-18-33 UTC;1041540;3008068;74.28;314512;1397400;3749316;45.49;1907228;875240
salmon;1;2014-05-26 03-18-34 UTC;1041168;3008440;74.29;314512;1397400;3749848;45.50;1910536;872264
salmon;1;2014-05-26 03-18-35 UTC;1041184;3008424;74.29;314512;1397456;3749848;45.50;1910684;872172
salmon;1;2014-05-26 03-18-36 UTC;1041192;3008416;74.29;314512;1397748;3749848;45.50;1910932;871996
salmon;1;2014-05-26 03-18-37 UTC;1040324;3009284;74.31;314512;1398640;3749848;45.50;1911184;872788
salmon;1;2014-05-26 03-18-38 UTC;1037100;3012508;74.39;314512;1401840;3749848;45.50;1911960;875236
salmon;1;2014-05-26 03-18-39 UTC;1032744;3016864;74.50;314512;1406332;3749848;45.50;1912544;879184
salmon;1;2014-05-26 03-18-40 UTC;1030636;3018972;74.55;314512;1408356;3749848;45.50;1912704;880904
salmon;1;2014-05-26 03-18-41 UTC;1030388;3019220;74.56;314516;1408532;3749848;45.50;1912780;881156
salmon;1;2014-05-26 03-18-42 UTC;1030140;3019468;74.56;314516;1408760;3749848;45.50;1912800;881364
salmon;1;2014-05-26 03-18-43 UTC;1038764;3010844;74.35;314516;1399256;3749848;45.50;1913908;870740
salmon;1;2014-05-26 03-18-44 UTC;1041244;3008364;74.29;314520;1396528;3749848;45.50;1914052;868008
salmon;1;2014-05-26 03-18-45 UTC;1041120;3008488;74.29;314520;1396784;3749848;45.50;1914008;868184
salmon;1;2014-05-26 03-18-46 UTC;1041120;3008488;74.29;314520;1396868;3749848;45.50;1914012;868264
salmon;1;2014-05-26 03-18-47 UTC;1041120;3008488;74.29;314520;1397124;3749848;45.50;1914028;868504
salmon;1;2014-05-26 03-18-48 UTC;1040972;3008636;74.29;314520;1397220;3751640;45.52;1914332;868592
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-18-55 UTC;1139020;2910588;71.87;314528;1313492;3720456;45.14;1882096;802956
salmon;1;2014-05-26 03-18-56 UTC;1155676;2893932;71.46;314528;1295124;3721480;45.15;1883248;785012
salmon;1;2014-05-26 03-18-57 UTC;1158296;2891312;71.40;314532;1293200;3719276;45.13;1882132;783568
salmon;1;2014-05-26 03-18-58 UTC;1158072;2891536;71.40;314532;1293420;3719276;45.13;1882132;783716
salmon;1;2014-05-26 03-18-59 UTC;1158072;2891536;71.40;314536;1293428;3719276;45.13;1882136;783716
salmon;1;2014-05-26 03-19-00 UTC;1155568;2894040;71.46;314536;1294564;3738480;45.36;1884096;784836
salmon;1;2014-05-26 03-19-01 UTC;1155320;2894288;71.47;314536;1294564;3738480;45.36;1884144;784852
