# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle;;;;
salmon;1;2014-05-26 02-58-30 UTC;-1;10.55;0;83.92;0;0;5.53;;;%user;%system
salmon;1;2014-05-26 02-58-31 UTC;-1;10.55;0;89.45;0;0;0;;texmaker;4.337;95.4786666667
salmon;1;2014-05-26 02-58-32 UTC;-1;1.75;0;98.25;0;0;0;;Texmaker-lttng;3.1166666667;96.6923333333
salmon;1;2014-05-26 02-58-33 UTC;-1;5.51;0;94.49;0;0;0;;;;
salmon;1;2014-05-26 02-58-34 UTC;-1;5.21;0;94.79;0;0;0;;;;
salmon;1;2014-05-26 02-58-35 UTC;-1;1.5;0;98.5;0;0;0;;;;
salmon;1;2014-05-26 02-58-36 UTC;-1;6.75;0;93.25;0;0;0;;;;
salmon;1;2014-05-26 02-58-37 UTC;-1;5.5;0;94.5;0;0;0;;;;
salmon;1;2014-05-26 02-58-38 UTC;-1;4.01;0;95.99;0;0;0;;;;
salmon;1;2014-05-26 02-58-39 UTC;-1;2.5;0;97.5;0;0;0;;;;
salmon;1;2014-05-26 02-58-40 UTC;-1;4;0;96;0;0;0;;;;
salmon;1;2014-05-26 02-58-41 UTC;-1;1;0;99;0;0;0;;;;
salmon;1;2014-05-26 02-58-42 UTC;-1;1.75;0;98.25;0;0;0;;;;
salmon;1;2014-05-26 02-58-43 UTC;-1;1.25;0;98.75;0;0;0;;;;
salmon;1;2014-05-26 02-58-44 UTC;-1;3.25;0;96.75;0;0;0;;;;
salmon;1;2014-05-26 02-58-45 UTC;-1;2.24;0;97.76;0;0;0;;;;
salmon;1;2014-05-26 02-58-46 UTC;-1;4.01;0;95.99;0;0;0;;;;
salmon;1;2014-05-26 02-58-47 UTC;-1;7;0;93;0;0;0;;;;
salmon;1;2014-05-26 02-58-48 UTC;-1;1.75;0;98.25;0;0;0;;;;
salmon;1;2014-05-26 02-58-49 UTC;-1;3.26;0;96.74;0;0;0;;;;
salmon;1;2014-05-26 02-58-50 UTC;-1;7.27;0;92.73;0;0;0;;;;
salmon;1;2014-05-26 02-58-51 UTC;-1;14.25;0;85.75;0;0;0;;;;
salmon;1;2014-05-26 02-58-52 UTC;-1;4.75;0;95.25;0;0;0;;;;
salmon;1;2014-05-26 02-58-53 UTC;-1;4.74;0;95.26;0;0;0;;;;
salmon;1;2014-05-26 02-58-54 UTC;-1;2.25;0;97.75;0;0;0;;;;
salmon;1;2014-05-26 02-58-55 UTC;-1;2;0;98;0;0;0;;;;
salmon;1;2014-05-26 02-58-56 UTC;-1;2.01;0;97.99;0;0;0;;;;
salmon;1;2014-05-26 02-58-57 UTC;-1;2.75;0;97.25;0;0;0;;;;
salmon;1;2014-05-26 02-58-58 UTC;-1;3.01;0;96.99;0;0;0;;;;
salmon;1;2014-05-26 02-58-59 UTC;-1;3.74;0;96.26;0;0;0;;;;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle;;;;
salmon;1;2014-05-26 02-59-06 UTC;-1;9.98;0;84.29;0;0;5.74;;;;
salmon;1;2014-05-26 02-59-07 UTC;-1;8.5;0;91.5;0;0;0;;;;
salmon;1;2014-05-26 02-59-08 UTC;-1;2.5;0;97.5;0;0;0;;;;
salmon;1;2014-05-26 02-59-09 UTC;-1;7.25;0;92.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-10 UTC;-1;4.75;0;95.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-11 UTC;-1;4.01;0;95.99;0;0;0;;;;
salmon;1;2014-05-26 02-59-12 UTC;-1;1.75;0;98.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-13 UTC;-1;0.75;0;99.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-14 UTC;-1;2.25;0;97.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-15 UTC;-1;2.25;0;97.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-16 UTC;-1;1.75;0;98.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-17 UTC;-1;3.75;0;96.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-18 UTC;-1;5.01;0;94.99;0;0;0;;;;
salmon;1;2014-05-26 02-59-19 UTC;-1;1;0;99;0;0;0;;;;
salmon;1;2014-05-26 02-59-20 UTC;-1;6.98;0;93.02;0;0;0;;;;
salmon;1;2014-05-26 02-59-21 UTC;-1;0.75;0;99.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-22 UTC;-1;1.25;0;98.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-23 UTC;-1;1;0;99;0;0;0;;;;
salmon;1;2014-05-26 02-59-24 UTC;-1;5;0;95;0;0;0;;;;
salmon;1;2014-05-26 02-59-25 UTC;-1;9;0;91;0;0;0;;;;
salmon;1;2014-05-26 02-59-26 UTC;-1;6.27;0;93.73;0;0;0;;;;
salmon;1;2014-05-26 02-59-27 UTC;-1;1;0;99;0;0;0;;;;
salmon;1;2014-05-26 02-59-28 UTC;-1;1.5;0;98.5;0;0;0;;;;
salmon;1;2014-05-26 02-59-29 UTC;-1;0.5;0;99.5;0;0;0;;;;
salmon;1;2014-05-26 02-59-30 UTC;-1;1.5;0;98.5;0;0;0;;;;
salmon;1;2014-05-26 02-59-31 UTC;-1;0.25;0;99.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-32 UTC;-1;0.75;0;99.25;0;0;0;;;;
salmon;1;2014-05-26 02-59-33 UTC;-1;0.25;0;99.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-34 UTC;-1;1.25;0;98.75;0;0;0;;;;
salmon;1;2014-05-26 02-59-35 UTC;-1;0.75;0;99.25;0;0;0;;;;
