# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 02-58-30 UTC;1168260;2881348;71.15;300724;1334792;3715272;45.08;1805400;859244
salmon;1;2014-05-26 02-58-31 UTC;1154000;2895608;71.50;300876;1348364;3715828;45.08;1806948;872376
salmon;1;2014-05-26 02-58-32 UTC;1160988;2888620;71.33;301036;1340360;3715828;45.08;1807124;864572
salmon;1;2014-05-26 02-58-33 UTC;1158708;2890900;71.39;301228;1342532;3715828;45.08;1807472;866356
salmon;1;2014-05-26 02-58-34 UTC;1156460;2893148;71.44;301292;1343580;3733968;45.30;1808668;867228
salmon;1;2014-05-26 02-58-35 UTC;1158984;2890624;71.38;301468;1341336;3733816;45.30;1809396;864752
salmon;1;2014-05-26 02-58-36 UTC;1150684;2898924;71.59;301668;1338216;3744848;45.44;1820396;861756
salmon;1;2014-05-26 02-58-37 UTC;1142384;2907224;71.79;301816;1342652;3749212;45.49;1824920;865996
salmon;1;2014-05-26 02-58-38 UTC;1144384;2905224;71.74;301924;1340884;3749212;45.49;1825108;863860
salmon;1;2014-05-26 02-58-39 UTC;1145984;2903624;71.70;302000;1338776;3749376;45.49;1825600;861728
salmon;1;2014-05-26 02-58-40 UTC;1141976;2907632;71.80;302148;1342996;3749376;45.49;1826648;865192
salmon;1;2014-05-26 02-58-41 UTC;1143388;2906220;71.77;302252;1340836;3749376;45.49;1826912;862684
salmon;1;2014-05-26 02-58-42 UTC;1140520;2909088;71.84;302268;1344480;3749376;45.49;1826960;866124
salmon;1;2014-05-26 02-58-43 UTC;1140752;2908856;71.83;302412;1343540;3749376;45.49;1827152;865076
salmon;1;2014-05-26 02-58-44 UTC;1141248;2908360;71.82;302528;1343252;3749376;45.49;1827404;864644
salmon;1;2014-05-26 02-58-45 UTC;1144052;2905556;71.75;302696;1340260;3749376;45.49;1827728;861700
salmon;1;2014-05-26 02-58-46 UTC;1140688;2908920;71.83;302792;1342980;3749368;45.49;1827756;864140
salmon;1;2014-05-26 02-58-47 UTC;1137052;2912556;71.92;302856;1341744;3753908;45.55;1832776;862644
salmon;1;2014-05-26 02-58-48 UTC;1135628;2913980;71.96;302956;1343964;3753908;45.55;1832996;864608
salmon;1;2014-05-26 02-58-49 UTC;1141780;2907828;71.81;303108;1345328;3745704;45.45;1825516;865748
salmon;1;2014-05-26 02-58-50 UTC;1128696;2920912;72.13;303236;1343396;3816436;46.31;1838656;863988
salmon;1;2014-05-26 02-58-51 UTC;1099740;2949868;72.84;303352;1339596;3847296;46.68;1871688;859936
salmon;1;2014-05-26 02-58-52 UTC;1099648;2949960;72.85;303492;1339548;3847436;46.68;1872228;859740
salmon;1;2014-05-26 02-58-53 UTC;1141848;2907760;71.80;303632;1343160;3763484;45.66;1827972;863000
salmon;1;2014-05-26 02-58-54 UTC;1144700;2904908;71.73;303732;1338716;3763484;45.66;1828208;858832
salmon;1;2014-05-26 02-58-55 UTC;1143304;2906304;71.77;303800;1340672;3763484;45.66;1828336;860680
salmon;1;2014-05-26 02-58-56 UTC;1140700;2908908;71.83;303896;1344040;3763484;45.66;1828660;863512
salmon;1;2014-05-26 02-58-57 UTC;1142872;2906736;71.78;303976;1341960;3763484;45.66;1829008;861252
salmon;1;2014-05-26 02-58-58 UTC;1142376;2907232;71.79;304104;1340992;3763484;45.66;1829188;860176
salmon;1;2014-05-26 02-58-59 UTC;1138160;2911448;71.89;304140;1345852;3764988;45.68;1829492;864816
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 02-59-06 UTC;1153732;2895876;71.51;304536;1339584;3732752;45.29;1798416;876076
salmon;1;2014-05-26 02-59-07 UTC;1142340;2907268;71.79;304596;1350772;3732752;45.29;1815876;870200
salmon;1;2014-05-26 02-59-08 UTC;1145060;2904548;71.72;304716;1347004;3742040;45.40;1818712;864780
salmon;1;2014-05-26 02-59-09 UTC;1151988;2897620;71.55;304764;1339544;3742552;45.41;1819104;857568
salmon;1;2014-05-26 02-59-10 UTC;1133944;2915664;72.00;304768;1347748;3752612;45.53;1829228;865456
salmon;1;2014-05-26 02-59-11 UTC;1134680;2914928;71.98;304772;1342260;3757932;45.60;1834128;860088
salmon;1;2014-05-26 02-59-12 UTC;1136044;2913564;71.95;304796;1339716;3757932;45.60;1834188;857604
salmon;1;2014-05-26 02-59-13 UTC;1136152;2913456;71.94;304808;1340132;3757932;45.60;1834104;858024
salmon;1;2014-05-26 02-59-14 UTC;1135904;2913704;71.95;304816;1340488;3758096;45.60;1834136;858140
salmon;1;2014-05-26 02-59-15 UTC;1135516;2914092;71.96;304820;1340504;3758124;45.60;1834164;858352
salmon;1;2014-05-26 02-59-16 UTC;1133664;2915944;72.01;304888;1342604;3758124;45.60;1834432;860460
salmon;1;2014-05-26 02-59-17 UTC;1133284;2916324;72.01;304940;1342656;3758124;45.60;1834444;860312
salmon;1;2014-05-26 02-59-18 UTC;1128828;2920780;72.13;304940;1343072;3762644;45.65;1839092;860592
