0   48  0   50
1   49	1   51
2   48	2   52
3   47	3   50
4   46	4   48
5   52	5   48
6   50	6   48
7   50	7   51
8   46	8   62
9   51	9   55
10  51	10  46
11  51	11  49
12  47	12  52
13  52	13  54
14  48	14  55
15  40	15  57
16  49	16  61
17  49	17  57
18  45	18  55
19  46	19  53
20  51	20  58
21  49	21  51
22  51	22  56
23  49	23  54
24  48	24  60
25  49	25  53
26  46	26  48
27  46	27  56
28  46	28  55
29  48	29  59
30  44	30  61
31  50	31  50
32  46	32  49
33  47	33  49
34  50	34  53
35  48	35  52
36  49	36  58
37  48	37  55
38  46	38  51
39  48	39  56
40  48	40  58
41  48	41  51
42  47	42  53
43  47	43  61
44  49	44  56
45  48	45  64
46  50	46  51
47  52	47  46
48  47	48  62
49  48	49  55
50  49	50  53
51  49	51  56
52  47	52  60
53  52	53  55
54  48	54  53
55  51	55  59
56  45	56  60
57  50	57  51
58  49	58  50
59  50	59  53
60  49	60  51
