1, 1s, 0.148, 0.459, 0.234, 0.161, 8,
2, 2s, 0.148, 0.459, 0.234, 0.161, 8,
3, 4s, 0.167, 0.518, 0.234, 0.161, 21, 
4, 8s, 0.170, 0.527, 0.234, 0.161, 77,
5, 16s, 0.170, 0.527, 0.234, 0.161, 164,
6, 32s, 0.170, 0.527, 0.234, 0.161, 377,
7, 64s, 0.170, 0.527, 0.234, 0.161, 849,
8, 2min, 0.196, 0.61, 0.234, 0.161, 1438,
9, 4min, 0.217, 0.700, 0.242, 0.169, 1670,
10, 8min, 0.233, 0.691, 0.250, 0.177, 2642,
11, 16min, 0.234, 0.696, 0.250, 0.177, 3959,
12, 32min, 0.234, 0.696, 0.250, 0.177, 5489,
13, 64min, 0.237, 0.704, 0.250, 0.177, 13715,
14, 2h, 0.237, 0.704, 0.250, 0.177, 19364,
15, 3.5h, 0.237, 0.704, 0.250, 0.177, 32104,
