1s, 101/683(0.14), 101/220(0.45), 29/124(0.23), 20/124(0.16), 8,
2s, 101/683(0.14), 101/220(0.45), 29/124(0.23), 20/124(0.16), 8,
4s, 114/683(0.16), 114/220(0.51), 29/124(0.23), 20/124(0.16), 21, 
8s, 116/683(0.16), 116/220(0.52), 29/124(0.23), 20/124(0.16), 77,
16s, 116/683(0.16), 116/220(0.52), 29/124(0.23), 20/124(0.16), 164,
32s, 116/683(0.16), 116/220(0.52), 29/124(0.23), 20/124(0.16), 377,
64s, 116/683(0.16), 116/220(0.52), 29/124(0.23), 20/124(0.16), 849,
2min, 134/683(0.19), 134/220(0.6), 29/124(0.23), 20/124(0.16), 1438,
4min, 148/683(0.21), 148/220(0.66), 30/124(0.24), 21/124(0.16), 1670,
8min, 159/683(0.21), 159/220(0.66), 31/124(0.25), 22/124(0.17), 2642,
16min,160/683(0.23), 160/220(0.69), 31/124(0.25), 22/124(0.17), 3959,
32min,160/683(0.23), 160/220(0.69), 31/124(0.25), 22/124(0.17), 5489,
64min,162/683(0.23), 162/230(0.70), 31/124(0.25), 22/124(0.17), 13715,
2h, 162/683(0.23), 162/230(0.70), 31/124(0.25), 22/124(0.17), 19364,
3.5h, 162/683(0.23), 162/230(0.70), 31/124(0.25), 22/124(0.17), 32104,
