1s, 101/162, 101/162, 29/31, 20/22, 8,
2s, 101/162, 101/162, 29/31, 20/22, 8,
4s, 114/162, 114/162, 29/31, 20/22, 21, 
8s, 116/162, 116/162, 29/31, 20/22, 77,
16s, 116/162, 116/162, 29/31, 20/22, 164,
32s, 116/162, 116/162, 29/31, 20/22, 377,
64s, 116/162, 116/162, 29/31, 20/22, 849,
2min, 134/162, 134/162, 29/31, 20/22, 1438,
4min, 148/162, 148/162, 30/31, 21/22, 1670,
8min, 159/162, 159/162, 31/31, 22/22, 2642,
16min, 160/162, 160/162, 31/31, 22/22, 3959,
32min, 160/162, 160/162, 31/31, 22/22, 5489,
64min, 162/162, 162/162, 31/31, 22/22, 13715,
2h, 162/162, 162/162, 31/31, 22/22, 19364,
3.5h, 162/162, 162/162, 31/31, 22/22, 32104,
