0, echo, 162/683, 162/230, 31/124, 22/124, 2967, 32104   
1, date, 116/308, 116/283, 48/72, 42/72, 1358, 17124 
2, ls, 407/2234, 407/1409, 61/199, 42/199, 8, 334
3, whoami, 253/862, 253/665, 50/135, 35/135, 13, 2001
4, who, 579/2057, 579/1531, 69/193, 45/193, 10, 305
5, uname, 261/932, 261/735, 50/134, 35/134, 27, 4186
6, pwd, 224/1159, 224/602, 44/173, 30/173, 9, 137
7, nproc, 222/991, 222/488, 43/140, 29/140, 9, 137
8, mknod, 244/1172, 244/738, 46/148, 32/148, 17, 8469
9, mkfifo, 291/980, 291/708, 49/139, 34/139, 11, 151
10, mkdir, 335/2056, 335/837, 55/201, 35/201, 11, 281
11, logname, 251/859, 251/663, 49/133, 34/133, 17, 2330
12, dirname, 328/874, 328/692, 54/134, 38/134, 51, 1721
13, dir, 397/2234, 397/1408, 60/199, 41/199, 9, 687
14, ln, 389/1479, 389/953, 58/132, 41/132, 187, 5735
15, id, 417/1131, 417/881, 67/159, 51/159, 35, 21718
16, hostname, 94/374, 94/257, 27/104, 17/104, 0, 6
17, hostid, 250/851, 250/657, 49/131, 35/131, 29, 3760
18, arch, 260/932, 260/735, 50/134, 35/134, 20, 3878
19, users, 390/942, 390/757, 65/151, 47/151, 34, 2212
