0, 1. echo, 0.98765, 91, 162,
1, 2. date, 0.94828, 78, 116, 
2, 3. ls, 0.87224, 458, 407,
3, 4. whoami, 0.96838, 177, 253, 
4, 5. who, 0.99309, 580, 579,
5, 6. uname, 0.97701, 138, 261,
6, 7. pwd, 0.97321, 126, 224,
7, 8. nproc, 0.95045, 123, 222, 
8, 9. mknod, 0.87295, 195, 244,
9, 10. mkfifo, 0.84880, 115, 291,
10, 11. mkdir, 0.97612, 140, 335,
11, 12. logname, 0.94821, 177, 251,
12, 13. dirname, 0.89024, 130, 328,
13, 14. printenv, 0.99516, 131, 207,
14, 15. ln, 0.96658, 130, 389, 
15, 16. id, 0.98561, 122, 417,
16, 17. hostname, 1.00000, 59, 94,
17, 18. hostid, 0.98000, 195, 250,
18, 19. arch, 0.99231, 187, 260,
19, 20. users, 0.98462, 146, 390,
