1. arch, 0.99231, 187, 260,
2. date, 0.94828, 78, 116, 
3. dirname, 0.89024, 130, 328,
4. echo, 0.98765, 91, 162,
5. hostid, 0.98000, 195, 250,
6. hostname, 1.00000, 59, 94,
7. id, 0.98561, 122, 417,
8. ln, 0.96658, 130, 389, 
9. logname, 0.94821, 177, 251,
10. ls, 0.87224, 458, 407,
11. mkdir, 0.97612, 140, 335,
12. mkfifo, 0.84880, 115, 291,
13. mknod, 0.87295, 195, 244,
14. nproc, 0.95045, 123, 222, 
15. printenv, 0.99516, 131, 207,
16. pwd, 0.97321, 126, 224,
17. uname, 0.97701, 138, 261,
18. users, 0.98462, 146, 390,
19. whoami, 0.96838, 177, 253, 
20. who, 0.99309, 580, 579,
